Literals;Index;ASPSimpleTime;ASPSimpleTimeout;ASPSimpleStatus;ASPGeneralTime;ASPGeneralTimeout;ASPGeneralStatus
110;12;;1;;;1;
60;90;1,019209623336792;0;6;16,39848041534424;0;6
80;31;0,015914201736450195;0;0;0,20236515998840332;0;0
70;17;4,996695041656494;0;5;;1;
70;86;0,5587749481201172;0;0;4,554101228713989;0;0
70;97;3,5499613285064697;0;10;;1;
50;59;0,19268584251403809;0;6;1,2212271690368652;0;6
70;20;0,7168905735015869;0;5;7,851931810379028;0;5
120;75;;1;;;1;
50;5;0,5082757472991943;0;10;6,466273069381714;0;10
70;28;2,4128787517547607;0;2;44,008339405059814;0;2
80;36;1,2721471786499023;0;0;12,785051107406616;0;0
90;24;0,0168459415435791;0;0;0,24641108512878418;0;0
70;50;2,588313102722168;0;3;41,72184610366821;0;3
110;62;;1;;;1;
80;14;2,4244964122772217;0;6;45,0306339263916;0;6
100;24;;1;;;1;
110;38;;1;;;1;
60;15;0,25685977935791016;0;0;1,1253669261932373;0;0
100;80;49,29631066322327;0;8;;1;
70;44;3,38480544090271;0;4;;1;
110;63;;1;;;1;
100;62;0,018375635147094727;0;0;0,3468010425567627;0;0
100;41;;1;;;1;
90;39;;1;;;1;
80;69;53,02045130729675;0;1;;1;
120;51;0,020565509796142578;0;0;0,492110013961792;0;0
60;94;0,013951778411865234;0;0;0,10037636756896973;0;0
70;21;2,0387918949127197;0;2;45,83699440956116;0;2
80;74;15,826483964920044;0;2;;1;
50;22;0,33127689361572266;0;5;1,5616140365600586;0;5
90;1;;1;;;1;
100;26;;1;;;1;
120;54;;1;;;1;
60;3;0,2626152038574219;0;0;1,3470125198364258;0;0
80;90;42,874773263931274;0;8;;1;
100;30;0,01803421974182129;0;0;0,3317131996154785;0;0
50;79;0,25675296783447266;0;4;2,755333185195923;0;4
70;37;2,1479804515838623;0;7;39,511669397354126;0;7
100;15;0,021477460861206055;0;0;0,3757748603820801;0;0
90;8;3,873845338821411;0;0;29,34388756752014;0;0
110;71;;1;;;1;
110;97;;1;;;1;
90;49;5,4651124477386475;0;0;25,18666934967041;0;0
100;47;8,509577751159668;0;1;;1;
120;90;;1;;;1;
110;80;0,01981973648071289;0;0;0,38935136795043945;0;0
50;2;0,12515759468078613;0;0;0,41962218284606934;0;0
70;45;0,5430653095245361;0;0;3,2438647747039795;0;0
60;86;0,8281135559082031;0;3;11,536314725875854;0;3
