Literals;Index;ASPSimpleTime;ASPSimpleTimeout;ASPSimpleStatus;ASPGeneralTime;ASPGeneralTimeout;ASPGeneralStatus
50;97;0,05781865119934082;0;1;0,2875356674194336;0;1
120;61;;1;;;1;
60;98;6,123878717422485;0;1;;1;
120;96;0,020351171493530273;0;0;0,3887810707092285;0;0
50;30;0,09205961227416992;0;0;0,4658677577972412;0;0
60;38;0,013634204864501953;0;0;0,0796818733215332;0;0
70;72;10,771676301956177;0;1;;1;
90;21;4,0122575759887695;0;0;21,414233446121216;0;0
50;31;0,08287715911865234;0;0;0,3217751979827881;0;0
90;3;5,132079839706421;0;0;29,007277011871338;0;0
80;28;1,2400567531585693;0;0;6,153501987457275;0;0
110;27;;1;;;1;
90;55;;1;;;1;
110;48;0,018851041793823242;0;0;0,2975783348083496;0;0
110;16;0,01922464370727539;0;0;0,37969207763671875;0;0
100;46;0,018238067626953125;0;0;0,26847171783447266;0;0
90;30;7,558773040771484;0;0;46,429537296295166;0;0
100;14;7,370382308959961;0;1;;1;
110;24;0,018879175186157227;0;0;0,35115575790405273;0;0
60;30;0,013016700744628906;0;0;0,09709692001342773;0;0
50;18;0,20952582359313965;0;1;1,398026943206787;0;1
110;95;;1;;;1;
70;18;11,895887851715088;0;1;;1;
50;48;0,07829403877258301;0;2;0,32448673248291016;0;2
120;5;0,020298242568969727;0;0;0,41321778297424316;0;0
50;78;0,012508630752563477;0;0;0,06914591789245605;0;0
60;62;0,2670581340789795;0;0;1,0333445072174072;0;0
50;88;0,012202024459838867;0;0;0,05364394187927246;0;0
120;3;;1;;;1;
100;21;0,01812744140625;0;0;0,24828338623046875;0;0
120;24;;1;;;1;
60;16;1,8913006782531738;0;5;21,20243239402771;0;5
50;12;0,10640192031860352;0;4;0,6497600078582764;0;4
50;70;0,07582449913024902;0;0;0,4084906578063965;0;0
50;38;0,07265567779541016;0;0;0,27901673316955566;0;0
50;40;0,13596129417419434;0;1;0,4891676902770996;0;1
80;33;;1;;;1;
90;36;3,10837984085083;0;0;24,36248469352722;0;0
110;10;0,019186735153198242;0;0;0,38783907890319824;0;0
70;70;14,32530689239502;0;1;;1;
50;6;0,041841983795166016;0;1;0,18881654739379883;0;1
70;9;24,155126571655273;0;1;;1;
90;19;0,01652050018310547;0;0;0,2313084602355957;0;0
60;61;0,20717096328735352;0;1;0,950869083404541;0;1
120;34;;1;;;1;
70;55;0,014970064163208008;0;0;0,12765812873840332;0;0
60;89;0,2741420269012451;0;0;1,3541176319122314;0;0
50;62;0,21269845962524414;0;1;1,119239330291748;0;1
110;32;;1;;;1;
70;83;7,712846040725708;0;6;;1;
120;14;;1;;;1;
80;84;1,24802827835083;0;0;6,618629693984985;0;0
110;96;;1;;;1;
60;79;0,26999616622924805;0;0;1,0112824440002441;0;0
80;60;0,015175104141235352;0;0;0,16741633415222168;0;0
60;94;0,651923656463623;0;3;5,895818471908569;0;3
110;43;58,24043607711792;0;1;;1;
60;96;6,701895475387573;0;1;;1;
80;46;29,32787322998047;0;2;;1;
70;82;0,014802932739257812;0;0;0,1313784122467041;0;0
60;86;0,013349771499633789;0;0;0,07881331443786621;0;0
70;39;0,0180511474609375;0;0;0,10357284545898438;0;0
80;47;1,2368128299713135;0;0;7,529774904251099;0;0
70;54;10,92963719367981;0;1;;1;
60;60;0,1434946060180664;0;1;0,899202823638916;0;1
60;28;0,013478994369506836;0;0;0,07884860038757324;0;0
70;68;0,5729906558990479;0;0;4,595921039581299;0;0
100;5;0,01805591583251953;0;0;0,27004313468933105;0;0
90;94;0,01676177978515625;0;0;0,22619128227233887;0;0
110;66;;1;;;1;
70;46;25,891027450561523;0;1;;1;
110;59;;1;;;1;
80;79;18,7948579788208;0;1;;1;
120;33;0,0202639102935791;0;0;0,4403500556945801;0;0
90;6;0,016286849975585938;0;0;0,17417192459106445;0;0
50;73;0,04930877685546875;0;3;0,22910356521606445;0;3
90;45;4,92340612411499;0;1;30,603809356689453;0;1
60;35;0,2736325263977051;0;0;1,4912223815917969;0;0
