Literals;Index;ApproxTime;ApproxTimeout;ApproxStatus;ASPSimpleTime;ASPSimpleTimeout;ASPSimpleStatus;ASPGeneralTime;ASPGeneralTimeout;ASPGeneralStatus
60;25;0,00713038444519043;0;44;0,00928354263305664;0;44;0,034452199935913086;0;44
60;88;0,006185293197631836;0;44;0,008738994598388672;0;44;0,02869248390197754;0;44
60;93;0,00622105598449707;0;42;0,008483409881591797;0;42;0,02894735336303711;0;42
60;78;0,006158351898193359;0;49;0,010308027267456055;0;49;0,032311201095581055;0;49
60;82;0,007589578628540039;0;34;0,009559392929077148;0;34;0,03244519233703613;0;34
60;75;0,00664830207824707;0;32;0,009817123413085938;0;32;0,0366818904876709;0;32
60;44;0,0065424442291259766;0;43;0,00888824462890625;0;43;0,02870965003967285;0;43
60;38;0,006360054016113281;0;27;0,008334875106811523;0;27;0,03647470474243164;0;27
60;21;0,007293224334716797;0;44;0,009763002395629883;0;44;0,03384232521057129;0;44
60;11;0,007161378860473633;0;41;0,009212017059326172;0;41;0,030132293701171875;0;41
60;69;0,006124973297119141;0;44;0,008328676223754883;0;44;0,028536319732666016;0;44
60;61;0,006243705749511719;0;39;0,009727716445922852;0;39;0,02928328514099121;0;39
60;33;0,006413936614990234;0;36;0,008283853530883789;0;36;0,033289194107055664;0;36
60;73;0,009209632873535156;0;46;0,011313199996948242;0;46;0,0333712100982666;0;46
60;46;0,009178638458251953;0;46;0,009513616561889648;0;46;0,028447866439819336;0;46
60;81;0,007134914398193359;0;42;0,008412837982177734;0;42;0,028713703155517578;0;42
60;97;0,006980419158935547;0;28;0,008548736572265625;0;28;0,03429150581359863;0;28
60;90;0,007158041000366211;0;30;0,009237527847290039;0;30;0,03301095962524414;0;30
60;85;0,008077859878540039;0;36;0,009048700332641602;0;36;0,030894994735717773;0;36
60;3;0,0069844722747802734;0;41;0,008745431900024414;0;41;0,02923583984375;0;41
60;70;0,0065920352935791016;0;34;0,008302450180053711;0;34;0,02934718132019043;0;34
60;98;0,0062067508697509766;0;44;0,008826017379760742;0;44;0,03142118453979492;0;44
60;18;0,0077130794525146484;0;44;0,009119749069213867;0;44;0,03734469413757324;0;44
60;26;0,00660395622253418;0;43;0,008802413940429688;0;43;0,029320240020751953;0;43
60;62;0,006718635559082031;0;27;0,008723020553588867;0;27;0,0313417911529541;0;27
60;87;0,00623011589050293;0;42;0,009066581726074219;0;42;0,033959388732910156;0;42
60;99;0,006800413131713867;0;26;0,009763956069946289;0;26;0,03759503364562988;0;26
60;15;0,006885051727294922;0;35;0,009934425354003906;0;35;0,031029224395751953;0;35
60;2;0,0067446231842041016;0;42;0,00856328010559082;0;42;0,028827667236328125;0;42
