Literals;Index;ApproxTime;ApproxTimeout;ApproxStatus;ASPSimpleTime;ASPSimpleTimeout;ASPSimpleStatus;ASPGeneralTime;ASPGeneralTimeout;ASPGeneralStatus
50;75;0,008280754089355469;0;19;0,009378671646118164;0;19;0,06934809684753418;0;19
250;65;0,04253053665161133;0;114;0,02553558349609375;0;114;2,5812273025512695;0;114
200;26;0,028174638748168945;0;78;0,02602100372314453;0;81;1,4882245063781738;0;81
100;17;0,013772249221801758;0;39;0,013376235961914062;0;39;0,3584616184234619;0;39
500;5;0,11293983459472656;0;249;0,049103498458862305;0;249;9,454580545425415;0;249
500;84;0,11612153053283691;0;279;0,044765472412109375;0;279;8,888036727905273;0;279
1000;90;0,3685019016265869;0;427;0,12474560737609863;0;427;46,96266412734985;0;427
500;60;0,12720608711242676;0;237;0,05131721496582031;0;237;10,160592555999756;0;237
150;4;0,020958662033081055;0;76;0,018370389938354492;0;76;0,7666165828704834;0;76
100;2;0,013596773147583008;0;48;0,01290583610534668;0;48;0,3110239505767822;0;48
1000;60;0,35819125175476074;0;524;0,10910487174987793;0;524;43,968631744384766;0;524
200;30;0,03080010414123535;0;84;0,022267580032348633;0;84;1,5320937633514404;0;84
250;79;0,0377659797668457;0;128;0,02547764778137207;0;128;2,157710552215576;0;128
1000;15;0,3553938865661621;0;511;0,10440945625305176;0;511;46,35767197608948;0;511
100;97;0,014331579208374023;0;45;0,01349020004272461;0;45;0,28410863876342773;0;45
250;62;0,040885210037231445;0;133;0,026308298110961914;0;133;2,3020951747894287;0;133
200;38;0,030070066452026367;0;94;0,021486759185791016;0;94;1,3537042140960693;0;94
1000;94;0,35694265365600586;0;496;0,11528611183166504;0;496;45,78923010826111;0;496
200;88;0,030158519744873047;0;79;0,022536754608154297;0;80;1,6680402755737305;0;80
200;54;0,029068470001220703;0;107;0,0208590030670166;0;107;1,3586888313293457;0;107
1000;7;0,3530540466308594;0;448;0,1098775863647461;0;449;46,365760803222656;0;449
250;19;0,04253530502319336;0;121;0,026787281036376953;0;126;2,4277231693267822;0;126
250;40;0,03969216346740723;0;118;0,02735447883605957;0;118;2,103975772857666;0;118
200;31;0,029599428176879883;0;78;0,02103710174560547;0;78;1,3063244819641113;0;78
1000;92;0,3467752933502197;0;488;0,09984898567199707;0;488;48,7112603187561;0;488
50;22;0,00784754753112793;0;26;0,009502410888671875;0;26;0,059391021728515625;0;26
250;69;0,047217369079589844;0;115;0,026533126831054688;0;115;2,0117874145507812;0;115
150;71;0,021081924438476562;0;72;0,017730236053466797;0;72;0,8199722766876221;0;72
50;13;0,008051156997680664;0;28;0,008646726608276367;0;28;0,05316519737243652;0;28
1000;54;0,36069345474243164;0;489;0,10266900062561035;0;489;44,69709873199463;0;489
500;40;0,11621379852294922;0;224;0,05438804626464844;0;224;9,963499307632446;0;224
500;36;0,11724328994750977;0;247;0,0503995418548584;0;247;9,553014993667603;0;247
50;99;0,008150100708007812;0;22;0,009349584579467773;0;23;0,07361865043640137;0;23
250;92;0,03970813751220703;0;142;0,025249958038330078;0;142;2,151064395904541;0;142
100;30;0,014478683471679688;0;39;0,013349294662475586;0;39;0,337202787399292;0;39
150;59;0,02037334442138672;0;71;0,016428232192993164;0;71;0,7014055252075195;0;71
50;72;0,008090972900390625;0;21;0,009046077728271484;0;21;0,05866885185241699;0;21
1000;62;0,3664529323577881;0;465;0,09824252128601074;0;465;46,31361937522888;0;465
100;19;0,013715267181396484;0;53;0,013346433639526367;0;53;0,2705841064453125;0;53
200;2;0,029456615447998047;0;101;0,021588802337646484;0;101;1,3161654472351074;0;101
250;37;0,03874325752258301;0;127;0,026114940643310547;0;128;2,4078617095947266;0;128
200;11;0,028281688690185547;0;118;0,019745349884033203;0;118;1,1280882358551025;0;118
150;29;0,020466327667236328;0;73;0,017522573471069336;0;73;0,7605583667755127;0;73
500;54;0,1126410961151123;0;233;0,04947519302368164;0;233;10,140833139419556;0;233
50;19;0,008046150207519531;0;26;0,009332418441772461;0;26;0,0712590217590332;0;26
50;57;0,007871389389038086;0;20;0,013076305389404297;0;20;0,0655219554901123;0;20
1000;86;0,3675990104675293;0;523;0,10603618621826172;0;524;43,25970721244812;0;524
500;17;0,11934113502502441;0;262;0,0501096248626709;0;262;9,170029640197754;0;262
100;50;0,013816595077514648;0;54;0,013303995132446289;0;54;0,2689371109008789;0;54
200;7;0,028403043746948242;0;94;0,020795583724975586;0;95;1,3350627422332764;0;95
200;70;0,029596567153930664;0;96;0,021402359008789062;0;96;1,4057865142822266;0;96
50;82;0,008093595504760742;0;21;0,009521484375;0;21;0,07099151611328125;0;21
150;85;0,026020050048828125;0;76;0,016725778579711914;0;76;0,7463397979736328;0;76
1000;45;0,3551325798034668;0;479;0,11669516563415527;0;479;52,05775237083435;0;479
100;36;0,014119386672973633;0;47;0,013735055923461914;0;47;0,30439114570617676;0;47
50;74;0,008225679397583008;0;18;0,009229183197021484;0;18;0,0635533332824707;0;18
250;17;0,03744697570800781;0;141;0,024251461029052734;0;141;2,0846948623657227;0;141
1000;57;0,3633286952972412;0;460;0,10422492027282715;0;462;47,04973340034485;0;462
150;20;0,021358013153076172;0;70;0,01726365089416504;0;70;0,7357606887817383;0;70
100;70;0,013707637786865234;0;35;0,013344287872314453;0;35;0,3763890266418457;0;35
500;85;0,11375284194946289;0;257;0,046811819076538086;0;257;8,870477676391602;0;257
50;35;0,0082855224609375;0;27;0,00948476791381836;0;29;0,05601763725280762;0;29
200;80;0,028497695922851562;0;80;0,02143716812133789;0;80;1,3255877494812012;0;80
1000;99;0,36641836166381836;0;480;0,11334800720214844;0;480;46,15557503700256;0;480
100;26;0,013678550720214844;0;44;0,013905763626098633;0;44;0,3049774169921875;0;44
1000;49;0,36997056007385254;0;435;0,11505913734436035;0;435;46,51391053199768;0;435
50;16;0,007904529571533203;0;22;0,009372472763061523;0;22;0,0705869197845459;0;22
1000;80;0,36684751510620117;0;524;0,10285115242004395;0;527;42,79745960235596;0;527
500;99;0,12180829048156738;0;273;0,05114436149597168;0;273;9,714126110076904;0;273
250;61;0,04022812843322754;0;114;0,026346683502197266;0;114;2,20644474029541;0;114
250;76;0,03777599334716797;0;121;0,0247347354888916;0;121;1,9956393241882324;0;121
100;62;0,014133930206298828;0;47;0,013028860092163086;0;47;0,2811908721923828;0;47
